blind_id,condition_id,status,failure_cause,planned_replicates,completed_replicates,failed_replicates,failure_rate,spin_true,inclination_deg,eddington_ratio,f_col_true,f_col_fit,inner_stress_delta_eta,mean_bias,median_bias,rmse,mean_width_68,mean_width_95,coverage_68,coverage_95,mean_chi2_per_dof,mean_runtime_s
blind_a54861da2c0c,ap0p000-i40p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.0,40.0,0.18,1.9,1.7,0.02,0.9504314631374485,0.9481107775586312,0.9504527692880339,0.019583864558323547,0.030862171968869173,0.0,0.0,160.43580090374505,0.0009144009952433408
blind_21b4e1fb6214,ap0p000-i70p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.0,70.0,0.06,1.7,1.7,0.02,0.2677264169684068,0.2710945306901254,0.26786774284153764,0.022729813462642946,0.038126976281566874,0.0,0.0,1.0688383075741237,0.0009174750035163015
blind_241f898eabc3,ap0p000-i70p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.0,70.0,0.06,1.9,1.7,0.0,0.9980000000000001,0.998,0.9979999999999999,0.016966000000000037,0.02370249999999995,0.0,0.0,185.77204883885108,0.0008744479937013239
blind_9ed89ccff471,ap0p000-i70p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.0,70.0,0.06,1.9,1.7,0.02,0.9980000000000001,0.998,0.9979999999999999,0.016966000000000037,0.02370249999999995,0.0,0.0,207.63136584874977,0.0009233770053833723
blind_ac37ed9079a4,ap0p000-i70p0-l0p180-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.0,70.0,0.18,1.7,1.7,0.02,0.2668709065924761,0.2683896235723454,0.267071830749915,0.02621966677582716,0.04759206539321399,0.0,0.0,1.0014965437610739,0.0009127640060614795
blind_50a2cc16d472,ap0p000-i70p0-l0p180-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.0,70.0,0.18,1.9,1.7,0.0,0.9979999999997969,0.998,0.9979999999997967,0.016966000000138228,0.02370250000019304,0.0,0.0,172.21619386154327,0.0008858980052173138
blind_e0a575312563,ap0p000-i70p0-l0p180-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.0,70.0,0.18,1.9,1.7,0.02,0.9980000000000001,0.998,0.9979999999999999,0.016966000000000037,0.02370249999999995,0.0,0.0,181.42942035902885,0.0009245009976439178
blind_803b83b844c6,ap0p500-i40p0-l0p060-fc1p70-de0p020,COMPLETED,,100,100,0,0.0,0.5,40.0,0.06,1.7,1.7,0.02,0.10650107100446586,0.10123158172784369,0.10689263978923948,0.02115896291924245,0.035795007151773646,0.0,0.0,1.0557402674886391,0.02761751101235859
blind_123d9273136e,ap0p500-i40p0-l0p060-fc1p90-de0p000,COMPLETED,,100,100,0,0.0,0.5,40.0,0.06,1.9,1.7,0.0,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,174.4883423553505,0.0009873900061938912
blind_ec9f3a56a1fb,ap0p500-i40p0-l0p060-fc1p90-de0p020,COMPLETED,,100,100,0,0.0,0.5,40.0,0.06,1.9,1.7,0.02,0.49800000000000005,0.498,0.498,0.016966000000000037,0.02370249999999995,0.0,0.0,184.44742970806496,0.0010133779991883785
