blind_id,replicate_index,status,failure_cause,spin_map,spin_mean,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
blind_cd385610e651,0,COMPLETED,,0.8148812214789978,0.7618823672155591,0.7228714908283504,0.8154508513224231,0.7177395321316461,0.8189121425465063,9.874996379258961,1.683479700004682,3788184252
blind_cd385610e651,1,COMPLETED,,0.7246909780270494,0.720604845076967,0.7189558804020526,0.7304558908579264,0.5682722730756196,0.8140633928460409,9.30731892563677,1.27851229999942,194422952
blind_cd385610e651,2,COMPLETED,,0.728027385955197,0.74379386857699,0.7241511954911625,0.810001671252264,0.7196035696727802,0.8130341881136404,8.098972959087487,1.276943199998641,2908908526
blind_cd385610e651,3,COMPLETED,,0.8152171202992226,0.7333762702755573,0.7182583258189045,0.7281860670065659,0.7140528571106134,0.8180011690751311,10.473109811722354,1.2666953999942052,1483930993
blind_cd385610e651,4,COMPLETED,,0.8139780395142784,0.7525616456915146,0.7230616431936683,0.8134360536066799,0.7178131053683842,0.816146675227844,8.037171424572447,1.2753109999976004,2732566408
blind_cd385610e651,5,COMPLETED,,0.8152785697432061,0.7481457571537194,0.7225136556043451,0.815004886912751,0.7190471314741351,0.8179479002841837,10.257127646740848,1.2662115999992238,2052192679
blind_cd385610e651,6,COMPLETED,,0.8151203691822165,0.7571821562062062,0.7279192720574486,0.8153181527899649,0.7235631901427685,0.8180019786783448,6.840712033953924,1.2680050999988453,3383789828
blind_cd385610e651,7,COMPLETED,,0.7268457750872792,0.7267571231804625,0.7225147648025497,0.7316857113685238,0.7179919427615702,0.7358065997159259,8.184297027182934,1.285836900002323,3554034429
blind_cd385610e651,8,COMPLETED,,0.8141457606265721,0.7626471718945999,0.7228430530611938,0.8146987892379774,0.7171769335410821,0.8175054467348668,10.371771544723968,1.260418199999549,3349026911
blind_cd385610e651,9,COMPLETED,,0.8130067137752977,0.7579218770949815,0.7223164912814731,0.8130839289243968,0.7178879129160363,0.8150752730339026,8.390525723683863,1.269805300005828,4262310434
blind_cd385610e651,10,COMPLETED,,0.7266527615497619,0.7158366820791083,0.7210316920750158,0.7309810705986168,0.5628301819349568,0.7355539524927258,8.98733219592663,1.326306900002237,1316813364
blind_cd385610e651,11,COMPLETED,,0.8128266056872733,0.7430440176514231,0.7231291221266567,0.8122124864759701,0.7187413979152477,0.8156759061118973,8.021038116600863,1.3053024000037112,3344430542
blind_cd385610e651,12,COMPLETED,,0.8135643359537205,0.7427403956640092,0.7228066561779654,0.8105457296029998,0.7188920612390755,0.8139140229359196,8.446658182908237,1.2995296000008238,196671900
blind_cd385610e651,13,COMPLETED,,0.8155584028746703,0.7586363157561888,0.7213840807461902,0.8163035885165195,0.7172738230345075,0.8197637190949387,9.725041490725394,1.284036199998809,3358748771
blind_cd385610e651,14,COMPLETED,,0.8143548594892784,0.7586359281515956,0.7223679849200663,0.8151366177779338,0.7181183496035521,0.8185729819526737,8.069865947335337,1.2957731999995303,3515956836
blind_cd385610e651,15,COMPLETED,,0.8135844201784727,0.7422176592273176,0.7219421032381941,0.811646985979126,0.7179132485773138,0.8157822935294686,9.014793461399016,1.271270099998219,668106460
