condition_id,replicate_index,status,failure_cause,spin_true,spin_map,spin_mean,bias,ci68_lower,ci68_upper,ci95_lower,ci95_upper,chi2_per_dof,runtime_s,noise_seed
am0p500-i40p0-l0p060-fc1p70-de0p000,0,COMPLETED,,-0.5,-0.4740500000000001,-0.4750952965601311,0.02490470343986889,-0.49615745783273163,-0.45917501143832057,-0.5138854213824948,-0.4410023159201017,0.9659386802397584,0.018398899934254587,3720034792
am0p500-i40p0-l0p060-fc1p70-de0p000,1,COMPLETED,,-0.5,-0.50898,-0.5065823649654174,-0.00658236496541742,-0.5276108535649588,-0.4905331440626204,-0.545631953111844,-0.472545019128961,1.1593128056277988,0.010830200044438243,370682935
am0p500-i40p0-l0p060-fc1p70-de0p000,2,COMPLETED,,-0.5,-0.50898,-0.509725953550372,-0.00972595355037198,-0.5307797060881464,-0.4937900619155529,-0.5485796087255643,-0.4756515053404733,1.3244409985301742,0.010794400004670024,3095578580
am0p500-i40p0-l0p060-fc1p70-de0p000,3,COMPLETED,,-0.5,-0.51397,-0.5134768361071971,-0.013476836107197077,-0.534435278910918,-0.49742439057616383,-0.5525190352826789,-0.4795646915944935,1.085137337900545,0.010660400032065809,1094069110
am0p500-i40p0-l0p060-fc1p70-de0p000,4,COMPLETED,,-0.5,-0.50898,-0.5098272688230898,-0.009827268823089819,-0.5308844608548109,-0.4939057718568755,-0.548660149290828,-0.475745581541911,0.8941406251031018,0.010623999987728894,301682048
am0p500-i40p0-l0p060-fc1p70-de0p000,5,COMPLETED,,-0.5,-0.49401000000000006,-0.49253228460796533,0.007467715392034668,-0.5134881253369961,-0.47645703286962576,-0.5316262642796658,-0.4586676847021705,1.3558689209250236,0.010863999952562153,4148879013
am0p500-i40p0-l0p060-fc1p70-de0p000,6,COMPLETED,,-0.5,-0.50399,-0.502679013484969,-0.0026790134849690173,-0.523618096036212,-0.48660372311158767,-0.541771027639974,-0.46885852984259463,0.8489319736974485,0.010726899956353009,3010470784
am0p500-i40p0-l0p060-fc1p70-de0p000,7,COMPLETED,,-0.5,-0.49900000000000005,-0.5006200837837642,-0.0006200837837642137,-0.5216841175442637,-0.4846407644106606,-0.5395091130321842,-0.4665167566632717,0.8837208353250009,0.01077130006160587,1484640524
am0p500-i40p0-l0p060-fc1p70-de0p000,8,COMPLETED,,-0.5,-0.50898,-0.5097578461315091,-0.009757846131509096,-0.5308127477847358,-0.4938264013352993,-0.5486050432018402,-0.47568101401943724,1.5273510937329222,0.010687600006349385,2074707015
am0p500-i40p0-l0p060-fc1p70-de0p000,9,COMPLETED,,-0.5,-0.49900000000000005,-0.4979195329343916,0.0020804670656083823,-0.5188337740450589,-0.48184672749465257,-0.5370041170399328,-0.4641272938137367,1.0832404927684165,0.010721899918280542,2003287294
