a_star,inclination_deg,alpha,beta,emission_radius,redshift,emission_mu
0.0,40.0,-19.25,-29.75,40.65576705031039,0.9194572753592313,0.7504636414839746
0.0,40.0,-15.75,-29.75,38.976400237673154,0.9232772242380599,0.7600395594696026
0.0,40.0,-12.25,-29.75,37.564291155942314,0.9284296255853761,0.7706070112755051
0.0,40.0,-8.75,-29.75,36.45819463257495,0.9350312631624481,0.7817388283692531
0.0,40.0,-5.25,-29.75,35.695203662619534,0.9430825967617903,0.7927956364323827
0.0,40.0,-1.75,-29.75,35.305252570917084,0.9524183979586076,0.8030140305902477
0.0,40.0,1.75,-29.75,35.305252570917084,0.9626934175372083,0.811677224102564
0.0,40.0,5.25,-29.75,35.695203662619534,0.9734256544623552,0.8183033107587069
0.0,40.0,8.75,-29.75,36.45819463257495,0.9840894067074278,0.8227542009752065
0.0,40.0,12.25,-29.75,37.564291155942314,0.9942182195888927,0.825212282804947
0.0,40.0,15.75,-29.75,38.976400237673154,1.003474580838863,0.8260578278524309
0.0,40.0,19.25,-29.75,40.65576705031039,1.0116693935064862,0.8257274344064923
0.0,40.0,22.75,-29.75,42.565729997322855,1.0187424955892177,0.8246142523066419
0.0,40.0,26.25,-29.75,44.673588045945,1.0247259970916935,0.8230244485748223
0.0,40.0,29.75,-29.75,46.95111174035032,1.0297074453399495,0.8211742024813156
0.0,40.0,33.25,-29.75,49.3743206863732,1.0338008605649567,0.8192057556012449
0.0,40.0,36.75,-29.75,51.922970186511094,1.0371271706497738,0.8172076744514072
0.0,40.0,40.25,-29.75,54.57998471054292,1.0398025514287113,0.8152324040052744
0.0,40.0,43.75,-29.75,57.33093837592758,1.0419324156357332,0.8133092470445222
0.0,40.0,47.25,-29.75,60.16361137367505,1.0436090332981618,0.8114531709087245
0.0,40.0,50.75,-29.75,63.067621598329815,1.0449112864199603,0.8096704878312696
0.0,40.0,54.25,-29.75,66.03412125898733,1.0459055555628762,0.8079624078790344
0.0,40.0,57.75,-29.75,69.05554710905231,1.046647114719146,0.8063272207129851
0.0,40.0,61.25,-29.75,72.12541427108255,1.047181671793946,0.8047616193940799
0.0,40.0,64.75,-29.75,75.23814553221624,1.047546859604644,0.8032614969427473
0.0,40.0,68.25,-29.75,78.38892960499112,1.0477735843725562,0.8018224210638296
0.0,40.0,-71.75,-26.25,79.34151972405806,0.9218505429258681,0.7056465102085481
0.0,40.0,-68.25,-26.25,76.08771586947759,0.9203366376282976,0.7057445097987192
0.0,40.0,-64.75,-26.25,72.86216041109688,0.9187809831766308,0.70593318385
0.0,40.0,-61.25,-26.25,69.66852861536256,0.9171896115924453,0.7062396240730471
0.0,40.0,-57.75,-26.25,66.5111131589802,0.9155717493764366,0.7066981252352398
0.0,40.0,-54.25,-26.25,63.39494834566931,0.9139409791215837,0.7073521752549136
0.0,40.0,-50.75,-26.25,60.32596274748879,0.9123168020065313,0.7082569696173033
0.0,40.0,-47.25,-26.25,57.311167491782584,0.9107267312373138,0.7094825354684583
0.0,40.0,-43.75,-26.25,54.358889590728296,0.9092090788047412,0.7111175006761304
0.0,40.0,-40.25,-26.25,51.479062656360526,0.9078166268297998,0.7132734130189111
0.0,40.0,-36.75,-26.25,48.683591478909044,0.9066213848270808,0.7160892183684282
0.0,40.0,-33.25,-26.25,45.98681240515543,0.9057205907052415,0.7197349148822146
0.0,40.0,-29.75,-26.25,43.40607753063351,0.9052439438519092,0.7244122971684375
0.0,40.0,-26.25,-26.25,40.96249337513451,0.9053616186912262,0.7303488428699292
0.0,40.0,-22.75,-26.25,38.681830903399025,0.9062916272184731,0.7377780649022038
0.0,40.0,-19.25,-26.25,36.5955606932026,0.9083031426800845,0.7468966911339024
0.0,40.0,-15.75,-26.25,34.74179145874136,0.9117089924463274,0.7577885343132824
0.0,40.0,-12.25,-26.25,33.165526681406725,0.9168359784826619,0.7703133685533308
0.0,40.0,-8.75,-26.25,31.917132774679548,0.9239593264088966,0.7839858537997422
0.0,40.0,-5.25,-26.25,31.04762968875968,0.9331966117173462,0.7979150223040817
0.0,40.0,-1.75,-26.25,30.60025263902085,0.9443878271170488,0.8109051186808427
0.0,40.0,1.75,-26.25,30.60025263902085,0.957031710093244,0.8217618759695274
0.0,40.0,5.25,-26.25,31.04762968875968,0.9703524768815022,0.8296845579077587
0.0,40.0,8.75,-26.25,31.917132774679548,0.9834929001418956,0.8345005012509655
0.0,40.0,12.25,-26.25,33.165526681406725,0.9957296516963204,0.8365987812084236
0.0,40.0,15.75,-26.25,34.74179145874136,1.006598753326023,0.8366584077203889
0.0,40.0,19.25,-26.25,36.5955606932026,1.0159030735136165,0.8353759977987124
0.0,40.0,22.75,-26.25,38.681830903399025,1.0236475057474923,0.8333130895738662
0.0,40.0,26.25,-26.25,40.96249337513451,1.029958054458367,0.8308599102816391
0.0,40.0,29.75,-26.25,43.40607753063351,1.0350161817040224,0.828261216092017
0.0,40.0,33.25,-26.25,45.98681240515543,1.0390160524817034,0.8256587492527742
0.0,40.0,36.75,-26.25,48.683591478909044,1.042140978526816,0.8231285200550518
0.0,40.0,40.25,-26.25,51.479062656360526,1.044552766117325,0.8207072822279707
0.0,40.0,43.75,-26.25,54.358889590728296,1.046388641423258,0.8184094206395406
0.0,40.0,47.25,-26.25,57.311167491782584,1.0477621285356744,0.8162370841046661
0.0,40.0,50.75,-26.25,60.32596274748879,1.048765687437123,0.8141860436957149
0.0,40.0,54.25,-26.25,63.39494834566931,1.0494738976587814,0.812248997846321
0.0,40.0,57.75,-26.25,66.5111131589802,1.0499465747533494,0.8104173992706744
0.0,40.0,61.25,-26.25,69.66852861536256,1.0502315503855069,0.8086824424953213
0.0,40.0,64.75,-26.25,72.86216041109688,1.0503670306031634,0.8070355783389284
