group_id,replicate_index,status,failure_cause,epoch_count,spin_true,single_epoch_mean_spin,joint_spin_mean,single_epoch_mean_bias,joint_bias,single_epoch_mean_abs_bias,joint_abs_bias,single_epoch_mean_width_68,joint_width_68,single_epoch_mean_width_95,joint_width_95,single_epoch_coverage_68,joint_coverage_68,single_epoch_coverage_95,joint_coverage_95,joint_width_reduction_fraction,runtime_s,noise_seed
multi_664c5f666404,0,COMPLETED,,2,-0.5,0.7404138093951377,0.7014539569320416,1.2404138093951378,1.2014539569320415,1.2404138093951378,1.2014539569320415,0.05189550567511142,0.010104188296954697,0.06005020042525666,0.1643790733145798,0.0,0.0,0.0,0.0,0.8052974305672761,4.657654299997375,3681958988
multi_664c5f666404,1,COMPLETED,,2,-0.5,0.7411417413772781,0.7130655188194521,1.241141741377278,1.2130655188194521,1.241141741377278,1.2130655188194521,0.05194686342877336,0.006872416606517162,0.06000180933239874,0.1733119635262157,0.0,0.0,0.0,0.0,0.8677029535009321,4.645273300004192,2585018655
multi_664c5f666404,2,COMPLETED,,2,-0.5,0.6719231395972345,0.7125489687511403,1.1719231395972345,1.2125489687511402,1.1719231395972345,1.2125489687511402,0.08544551650264026,0.007134733670701721,0.1374069526804888,0.18064977617167832,0.0,0.0,0.0,0.0,0.9164996132888815,4.672369400002935,3350331928
multi_664c5f666404,3,COMPLETED,,2,-0.5,0.7366465666652692,0.6529995595806952,1.2366465666652693,1.1529995595806952,1.2366465666652693,1.1529995595806952,0.05135425301227342,0.15791565951689535,0.05917876992413312,0.1659822516900359,0.0,0.0,0.0,0.0,-2.0750259278263528,4.625004599998647,1278839323
multi_664c5f666404,4,COMPLETED,,2,-0.5,0.7380649407687149,0.7642844085823753,1.238064940768715,1.2642844085823755,1.238064940768715,1.2642844085823755,0.05359155037926705,0.09178650109639697,0.22604205091260177,0.09711495413544391,0.0,0.0,0.0,0.0,-0.7127047164492257,4.611753899996984,1729533720
multi_664c5f666404,5,COMPLETED,,2,-0.5,0.7338680617708324,0.7150106185808264,1.2338680617708324,1.2150106185808265,1.2338680617708324,1.2150106185808265,0.04973685296725833,0.00683106274602352,0.056831992810186804,0.18274143721687508,0.0,0.0,0.0,0.0,0.8626559112913639,4.628819700003078,3499485738
multi_664c5f666404,6,COMPLETED,,2,-0.5,0.6925002728867599,0.7107089231849082,1.1925002728867597,1.2107089231849082,1.1925002728867597,1.2107089231849082,0.08481179507434511,0.007479736020239436,0.09544389122314262,0.16056420294264595,0.0,0.0,0.0,0.0,0.9118078326996525,4.643695400001889,1632638061
multi_664c5f666404,7,COMPLETED,,2,-0.5,0.7402832866022189,0.7254435699814822,1.240283286602219,1.2254435699814823,1.240283286602219,1.2254435699814823,0.046899847205219836,0.006434957030160171,0.05543804385198853,0.01333343185479896,0.0,0.0,0.0,0.0,0.8627936461711121,4.6340801999976975,3596003973
multi_664c5f666404,8,COMPLETED,,2,-0.5,0.7339478112147657,0.7120853436311602,1.2339478112147657,1.21208534363116,1.2339478112147657,1.21208534363116,0.05197883519842905,0.007073587433426343,0.06110934166154952,0.16078163221643937,0.0,0.0,0.0,0.0,0.863914083368299,4.640062300000864,1748959825
multi_664c5f666404,9,COMPLETED,,2,-0.5,0.74004807383637,0.7353112662600972,1.24004807383637,1.2353112662600974,1.24004807383637,1.2353112662600974,0.05235370798255046,0.008436860099562016,0.06103608277118844,0.0992236673400585,0.0,0.0,0.0,0.0,0.8388488528381977,4.630358199996408,1887067983
multi_664c5f666404,10,COMPLETED,,2,-0.5,0.730962857425937,0.7164444684557529,1.230962857425937,1.216444468455753,1.230962857425937,1.216444468455753,0.0108050866733011,0.007147956386723386,0.05876982639291384,0.15944977725561504,0.0,0.0,0.0,0.0,0.3384637622217621,4.686063400004059,3627536492
multi_664c5f666404,11,COMPLETED,,2,-0.5,0.7445146645898386,0.7495927444621268,1.2445146645898386,1.2495927444621269,1.2445146645898386,1.2495927444621269,0.05097824058148265,0.08951317904404765,0.06131261679034511,0.0947764895182831,0.0,0.0,0.0,0.0,-0.7559095414635093,4.623299200000474,1092215318
